Startup,Value Prop,Source,Societal Impact,Societal Reach,Time to Impact,Up Votes,Tags,Valley Innovators Impact Index*
Kite,Software marketing videos made easy-breezy ,https://www.ycombinator.com/launches/JGE-kite-software-marketing-videos-made-easy-breezy,1,3,7,22,#ai#video#media#marketing#advertising,21
Khoj,Open Source AI Assistant,https://www.ycombinator.com/launches/JG4-khoj-your-superhuman-companion,3,7,3,34,#ai#consumer#open_source#ai_assistant#generative_ai,63
Truemetrics,Improve logistics delivery efficiency,https://www.ycombinator.com/launches/JFo-truemetrics-helping-logistics-companies-deliver-to-their-customer-s-doorstep,5,7,5,15,#ai,175
Synaptiq ,AI-powered medical training platform,https://www.ycombinator.com/launches/JFk-synaptiq-ai-guided-training-for-doctors,9,9,5,22,#education#healthcare#artificial_intelligence,405
Telophase ,clone your AWS environments,https://www.ycombinator.com/launches/JFi-telophase-orchestration-for-aws-environments,3,5,3,26,#b2b#infrastructure#developer_tools,45
Baserun,Testing platform for LLM apps,https://www.ycombinator.com/launches/JFc-baserun-ai-ship-llm-features-with-confidence,5,5,5,145,#ai#b2b#aiops#developer_tools#artificial_intelligence,125
Raz,AI forms,https://www.ycombinator.com/launches/JFY-raz-next-generation-ai-forms,2,5,7,130,#sms#chatbot#analytics#artificial_intelligence,70
Feanix Bio,Animal breeding software platform,https://www.ycombinator.com/launches/JFK-feanix-bio-gen-ai-genetics-for-artificial-insemination,9,9,5,21,#ai#climate#genomics#agriculture#sustainability,405
Accend,Improve fintech ops and compliance,https://www.ycombinator.com/launches/JFE-accend-accelerate-manual-reviews-for-fintech-ops-compliance-teams,2,5,7,46,#ai#b2b#fintech#compliance#operations,70
Envelope Money,Gamified consumer banking platform,https://www.ycombinator.com/launches/JF8-envelope-money-gamified-wealth-building-through-digital-cash-envelopes,9,7,7,77,#fintech#consumer,441
Strada,Developer integration platform,https://www.ycombinator.com/launches/JF0-strada-developer-first-integration-platform-mulesoft-alternative,2,2,7,28,#b2b#saas#enterprise#developer_tools,28
Simbie Health,Virtual first clinics,https://www.ycombinator.com/launches/JEp-simbie-health-powering-the-return-of-independent-practices-in-women-s-health,9,7,5,53,#ai#femtech#health_tech#women's_health,315
Anneal,AI for short form videos,https://www.ycombinator.com/launches/JCD-anneal-tiktok-killer-with-generative-ai-tools-to-create-share-video-content,2,5,7,31,#video#social#consumer#generative_ai#artificial_intelligence,70
Silimate,Improve silicon chip design,https://www.ycombinator.com/launches/JEn-silimate-co-pilot-for-chip-designers,7,7,5,51,#b2b#saas#semiconductors#enterprise_software#artificial_intelligence,245
MediSearch,AI search for medical information,https://www.ycombinator.com/launches/JEm-medisearch-ai-search-engine-for-trustworthy-medical-information,8,8,8,21,#ai#healthcare#generative_ai#digital_health#consumer_health_services,512
CleanCard,Home cancer testing,https://www.ycombinator.com/launches/JEj-cleancard-making-cancer-screening-as-easy-as-a-pregnancy-test,9,7,7,37,#ai#biotech#healthcare#diagnostics#computer_vision,441
Medobed,Medicine delivery in India,https://www.ycombinator.com/launches/JEf-medobed-transforming-healthcare-in-india-with-fast-and-reliable-medicine-delivery,8,5,8,26,#healthcare#consumer_health_services,320
Capi Money,Payments for African Importers,https://www.ycombinator.com/launches/JEX-capi-money-international-payments-for-importers-in-africa,8,5,7,30,#b2b#fintech#payments#remittances#emerging_markets,280
Cascading AI,Automate manual banking processes,https://www.ycombinator.com/launches/JDv-cascading-ai-automate-manual-banking-processes,5,5,5,17,#ai#b2b#aiops#fintech#machine_learning,125
Chatter,AI (LLM) iteration and testing,https://www.ycombinator.com/launches/JDp-chatter-dead-simple-llm-iteration-and-testing,3,5,7,23,#saas#aiops#generative_ai#developer_tools,105
Serra,Simplified SQL developer tool,https://www.ycombinator.com/launches/JDf-serra-simplify-sql-with-one-command,3,3,7,8,#ai#big_data#developer_tools#data_engineering,63
Latentspace,AI data analysis assistant,https://www.ycombinator.com/launches/JDY-latentspace-your-ai-data-assistant,6,5,5,1577,#ai#data_science#ai_assistant#data_visualization#artificial_intelligence,150
Cheq UPI,Digital payments in India,https://www.ycombinator.com/launches/JDX-cheq-upi-digital-payments-for-nris-and-foreigners-in-india,6,5,8,13,#india#fintech#payments#consumer_finance,240
Wattson Health,Reduce medication errors,https://www.ycombinator.com/launches/JDW-wattson-health-pharmacy-automation-to-increase-rx-throughput-accuracy,9,9,5,109,#b2b#saas#healthcare#automation#healthcare_it,405
Pure,Marketplace for precious metals,https://www.ycombinator.com/launches/JDS-pure-marketplace-for-gold-silver-coins-bars,5,3,5,17,#marketplace#data_science#computer_vision,75
